customer_id,first_name,last_name,age,annual_income,credit_score,address,city,state,zip_code,property_type,property_value,loan_amount,down_payment,interest_rate,loan_term_years,origination_date,monthly_payment,current_balance,loan_status,days_delinquent
1023,Matthew,Kane,45,59149,828,3586 Lopez Prairie Suite 194,Port Gregory,FL,22655,Single Family,295000,214000,81000,4.68,30,7/29/2019,1107.31,193224.17,Current,0
1024,Eric,Murphy,30,174754,615,114 Norman Tunnel,Porterville,PA,86675,Single Family,645000,521000,124000,7.52,30,11/13/2016,3650.05,446588.66,Current,0
1025,Susan,Hernandez,39,142027,580,655 Christopher Inlet,Monicaburgh,CA,38815,Condo,140000,125000,15000,8.09,30,2/23/2022,925.06,118304.4,Current,0
1026,Matthew,Lester,46,74471,734,4121 Ryan Point Suite 101,South Jennifer,TX,88556,Single Family,300000,185000,115000,6.26,30,9/16/2023,1140.28,179972.45,Current,0
1027,Christopher,Smith,33,61023,850,199 Shields Bridge Suite 661,North Kaitlynchester,DE,34198,Single Family,400000,273000,127000,4.5,30,1/29/2018,1383.25,239595.42,Current,0
1028,Colin,Garrison,48,63578,819,826 Dominic Hollow,Atkinsland,TX,54971,Single Family,455000,415000,40000,4.62,30,12/20/2015,2132.44,349406.94,Current,0
1029,Melanie,Thomas,38,81370,736,2126 Fisher Orchard Apt. 543,Rosarioside,IN,21716,Single Family,280000,169000,111000,6.15,30,11/16/2017,1029.6,147741.99,Delinquent,63
1030,Cassandra,Anderson,42,35904,680,937 Derek Avenue Suite 596,Lake Kimberlyside,OK,56396,Single Family,370000,248000,122000,6.85,30,9/24/2021,1625.04,232970.74,Delinquent,114
1031,Lindsay,King,38,52644,784,5692 Flores Square Apt. 752,South Timothyton,IL,27251,Single Family,105000,98000,7000,4.97,20,12/16/2019,645.13,84681.53,Current,0
1032,Jessica,Thompson,63,25996,642,4793 Bennett Viaduct Suite 519,Lisaton,TX,96073,Single Family,260000,212000,48000,7.2,30,11/7/2018,1439.03,188827.22,Current,0
1033,Amanda,Guerrero,44,73102,758,828 Stephanie Mountain,Reginaldhaven,CA,21984,Single Family,455000,315000,140000,5.37,30,1/19/2018,1762.93,276310.42,Current,0
1034,Teresa,Johnson,34,82752,760,4167 Cynthia Garden,Pattersonville,CO,47874,Single Family,220000,137000,83000,5.53,30,7/3/2024,780.45,135122.59,Current,0
1035,Nicholas,Smith,53,47024,804,266 Shane Rapid Suite 968,East Melanieshire,MN,13294,Single Family,375000,229000,146000,4.92,30,11/8/2020,1218.15,211729.58,Default,207
1036,Andrea,Tyler,32,131530,850,058 Daniel Gateway Suite 290,Lake Garychester,CA,38351,Single Family,455000,312000,143000,4.66,30,10/5/2023,1610.66,303795.56,Current,0
1037,Maria,Young,47,32439,751,6101 Walker Summit Apt. 756,Donaldbury,DE,41066,Condo,305000,277000,28000,5.81,30,1/24/2022,1627.07,261777.82,Current,0
1038,Christine,Morris,25,28791,679,982 Cuevas Orchard Apt. 461,Clarkville,VA,71583,Townhouse,395000,295000,100000,6.46,30,1/15/2023,1856.85,283650.69,Delinquent,108
1039,Michelle,Thompson,31,66985,717,254 Gibson Ford,Dawnland,WV,91144,Townhouse,225000,192000,33000,6.4,30,7/19/2015,1200.97,160284.44,Current,0
1040,Barbara,Williams,46,101068,580,7177 Jones Cape Apt. 051,Nolanfort,IA,72417,Condo,325000,299000,26000,7.71,30,8/25/2023,2133.81,290569.86,Current,0
1041,Janet,Harmon,52,138963,664,382 Mark Meadow,Port Jordan,UT,84258,Single Family,490000,364000,126000,6.98,30,4/10/2025,2416.81,363747.22,Current,0
1042,Brandon,Fox,46,47599,687,62266 Jo Flat Suite 966,Hannahmouth,NV,09491,Condo,390000,260000,130000,6.45,30,12/19/2015,1634.84,218893.52,Current,0
1043,Jeremy,Reese,43,102677,678,334 Barbara Union,Lyonsshire,GA,10492,Single Family,270000,211000,59000,6.66,30,9/10/2016,1355.94,180238.94,Delinquent,93
1044,Keith,Alvarez,41,58732,732,5371 Lambert Overpass,Brookeberg,OH,20891,Single Family,405000,372000,33000,6.13,30,7/26/2021,2261.51,348422.78,Current,0
1045,Christopher,Strickland,30,54923,654,696 Michael Vista Suite 924,New Keith,NC,16418,Single Family,520000,458000,62000,7.15,30,2/13/2025,3093.36,456494.54,Current,0
1046,Jesse,Palmer,37,93137,809,251 Kevin Falls,West Anna,WI,00937,Single Family,130000,81000,49000,5.3,30,7/30/2024,449.8,79991.25,Current,0
1047,Craig,Rodriguez,40,82964,720,286 Carlson Ports Suite 627,Kristopherburgh,FL,31899,Condo,645000,543000,102000,6.17,30,7/13/2024,3315.14,535810.28,Current,0
1048,Joshua,Gordon,55,27223,719,274 Jacob Ville,Thomasmouth,NC,09149,Single Family,305000,244000,61000,6.26,30,2/19/2025,1503.94,243265.74,Delinquent,54
1049,Cynthia,Dougherty,48,125275,693,050 Taylor Via Suite 887,Ericberg,CA,99912,Single Family,450000,413000,37000,6.45,20,11/28/2022,3067.07,387789.79,Current,0
1050,Michael,Williams,27,119377,732,767 Jackson Port Apt. 340,New Kelly,CA,35897,Townhouse,660000,424000,236000,6.07,30,2/17/2025,2561.21,422684.81,Current,0
1051,Mitchell,Logan,48,43793,786,84279 Dunn Creek Apt. 485,Scottbury,AL,23959,Single Family,180000,142000,38000,5.42,20,12/26/2021,970.4,130008.89,Current,0
1052,Jason,Camacho,41,72977,650,783 Garcia Village,Port Jasonport,WY,15360,Single Family,255000,231000,24000,7.07,30,10/3/2016,1547.72,197569.17,Default,430
1053,Joseph,Boyd,38,76651,667,0745 Scott Crest,New Alexander,TN,59652,Townhouse,315000,234000,81000,6.51,30,1/10/2017,1480.58,201207.5,Current,0
1054,Sharon,Ellis,51,68209,695,95962 Kristen Via,Jenniferhaven,SC,44741,Single Family,245000,188000,57000,6.58,30,6/23/2021,1198.2,175797.41,Current,0
1055,Deborah,Maynard,55,45472,612,95849 Mario Squares,Woodsburgh,MS,16418,Single Family,860000,537000,323000,7.66,30,8/26/2022,3813.79,512810.14,Current,0
1056,Chelsea,Brown,54,42796,654,9481 Sydney Turnpike Suite 042,Dawnshire,GA,66097,Single Family,235000,164000,71000,6.9,30,6/12/2016,1080.1,139407.59,Current,0
1057,George,Mendoza,36,59114,681,25367 Barbara Grove,Alexandrafurt,CA,70571,Single Family,275000,196000,79000,6.43,20,10/15/2015,1453.26,148633.33,Current,0
1058,Jessica,Morales,41,107620,789,7116 Neal Wells Suite 775,Wonghaven,GA,61488,Condo,400000,372000,28000,5.59,30,12/5/2023,2133.23,363268.33,Current,0
1059,Frank,Parks,48,78574,741,175 Laura Locks,Thompsonfurt,IA,67449,Single Family,200000,140000,60000,6.01,30,6/9/2015,840.27,116614.81,Current,0
1060,Noah,Henry,54,49746,735,3745 Morgan Ports,Lake Staceymouth,PA,16504,Single Family,295000,225000,70000,5.94,30,6/2/2017,1340.32,194958.33,Current,0
1061,Veronica,Browning,40,88067,788,750 Cory Tunnel,West Jamie,NV,63578,Single Family,425000,355000,70000,5.08,30,3/27/2022,1923.11,336510.42,Current,0
1062,Danielle,Jones,43,14411,709,12770 Harris Spurs Apt. 424,West Charlotte,CA,88056,Single Family,305000,200000,105000,6.16,30,11/22/2022,1219.75,191805.56,Current,0
1063,Angela,Miller,33,106339,751,541 Beck Run,Lake Jamesfort,AZ,81027,Townhouse,345000,266000,79000,6.04,30,7/15/2017,1601.65,231013.61,Current,0
1064,Gabrielle,Franklin,33,25088,711,64361 Aaron Neck,Hudsontown,CA,36978,Single Family,280000,240000,40000,6.33,30,7/22/2018,1490.23,212566.67,Current,0
1065,Megan,Jones,53,49950,741,93870 Heather Viaduct,Lake James,LA,11415,Single Family,170000,154000,16000,5.8,30,11/16/2019,903.6,139833.43,Current,0
1066,Kimberly,Hill,58,34206,673,2713 Davis Valley,South Conniemouth,VA,47196,Single Family,425000,348000,77000,6.9,30,3/13/2023,2291.93,335530,Delinquent,38
1067,Jeremy,Schultz,44,31340,580,55426 Darlene Springs,West Angelaside,NY,12563,Single Family,870000,726000,144000,7.84,30,5/27/2018,5246.38,641131.94,Current,0
1068,Antonio,Kelley,55,106982,709,89092 Bell Forest,Port Brianshire,TN,46800,Townhouse,365000,235000,130000,6.63,30,10/13/2022,1505.51,224936.34,Current,0
1069,Leslie,Nguyen,48,47389,833,9731 Donald Crossing,East Jonathan,MI,23621,Single Family,405000,377000,28000,4.99,30,12/27/2024,2021.51,374923.01,Current,0
1070,Joseph,Vang,38,71200,794,6523 Newman Gateway Suite 043,Lake Sharon,IN,51341,Single Family,510000,330000,180000,5.13,30,1/4/2020,1797.82,300391.67,Current,0
1071,Jason,Schmidt,48,58486,797,640 Troy Creek,East Hannah,CA,25312,Single Family,190000,166000,24000,5.06,30,2/10/2016,897.22,140162.41,Current,0
1072,Sherri,Chavez,60,76002,818,9180 Peck Curve,Thompsonview,TX,71975,Condo,850000,589000,261000,4.39,20,12/25/2023,3691.42,569080.35,Current,0
1073,Nancy,Jacobs,44,62219,727,658 Kathryn Trail Apt. 091,Christopherborough,SC,33305,Single Family,400000,371000,29000,5.8,20,6/19/2016,2615.33,287731.11,Current,0
1074,Leonard,Garcia,60,31524,735,3006 Fuller Parkway,East Alexandraton,CO,95569,Condo,820000,699000,121000,5.72,30,7/1/2019,4065.86,630232.64,Current,0
1075,Diana,Miles,22,98532,670,6188 Joshua Inlet Apt. 832,East John,MS,02890,Single Family,250000,216000,34000,6.86,30,10/20/2016,1416.8,184910,Current,0
1076,Randall,Farrell,53,46776,694,9146 Brian Corners Suite 179,Marshallside,MN,81810,Condo,900000,609000,291000,6.46,20,10/30/2015,4526.21,462459.38,Current,0
1077,Robin,Curtis,45,27494,769,2102 Frank Key,West Kristyland,NY,11828,Single Family,535000,404000,131000,5.28,30,2/10/2024,2238.42,395770.37,Current,0
1078,Stephen,Mack,42,48337,816,52410 Roman Groves Apt. 491,South Darren,VA,08815,Single Family,480000,392000,88000,4.88,30,6/6/2015,2075.69,326467.04,Current,0
1079,Joseph,Le,45,126802,708,8507 Michael Glens Apt. 913,South Jamesside,NM,21772,Single Family,405000,352000,53000,6.44,30,1/20/2024,2211.01,344487.41,Current,0
1080,John,Lewis,25,91593,683,03075 Mora Fall,New Tony,NV,19612,Single Family,320000,204000,116000,6.77,30,8/23/2023,1325.85,198229.44,Delinquent,46
1081,Anna,Hayes,42,50296,720,635 Robert Stravenue,New Russellville,CA,45340,Townhouse,660000,618000,42000,5.81,30,9/16/2021,3630.07,580319.17,Current,0
1082,Jose,Perez,48,50280,768,1951 Harry Unions Apt. 617,Watersborough,CA,21517,Condo,390000,356000,34000,5.54,30,10/24/2015,2030.27,298792.78,Current,0
1083,Brenda,Morgan,59,50980,604,5187 Miguel Highway Suite 937,Gayview,CT,68931,Single Family,135000,94000,41000,7.41,30,10/9/2020,651.48,86780.28,Current,0
1084,Rachael,Chavez,39,169122,580,738 Edward Lodge Apt. 385,Guzmanfort,AZ,90879,Single Family,205000,182000,23000,8.18,30,10/22/2022,1358.36,174281.85,Current,0
1085,Reginald,Perry,36,72473,675,0641 Alyssa Freeway,West William,PA,70599,Single Family,330000,258000,72000,6.93,30,8/27/2016,1704.37,220219.72,Current,0
1086,Jeffrey,Davis,39,74237,622,0241 Samantha Vista Suite 571,Stephanieport,OK,25951,Condo,425000,324000,101000,7.28,30,1/16/2018,2216.85,284160,Current,0
1087,Whitney,Simmons,54,100222,679,261 Ryan Curve,Michellebury,CA,63243,Single Family,350000,249000,101000,6.56,30,4/20/2025,1583.69,248942.36,Default,268
1088,William,Ortega,48,67467,708,4565 Chavez Fort,Joshuaside,TX,99763,Single Family,665000,534000,131000,6.25,30,6/15/2023,3287.93,517188.89,Current,0
1089,Christopher,Brooks,39,52600,683,29121 Shannon Island,Connieville,CA,83282,Single Family,135000,115000,20000,6.21,30,4/5/2017,705.09,99336.57,Current,0
1090,Brandon,Hernandez,50,54275,836,85374 Baker Crest Apt. 249,South Adam,GA,46557,Single Family,390000,290000,100000,4.75,30,12/20/2018,1512.78,258878.7,Current,0
1091,Daniel,Leblanc,45,57769,746,52135 Palmer Springs,Simpsonburgh,FL,04405,Single Family,145000,119000,26000,5.79,30,10/25/2020,697.48,109948.29,Current,0
1092,Courtney,Jones,54,58770,744,2067 Cody Cove Apt. 100,Port Ryanport,IA,45089,Single Family,530000,448000,82000,6.07,20,6/28/2017,3227.73,359084.44,Current,0
1093,Laura,Decker,37,86147,769,36519 Lowery Club,Port Scottside,FL,51524,Single Family,345000,293000,52000,5.33,30,3/7/2018,1632.51,257650.09,Current,0
1094,Robert,Davis,41,61450,628,37215 Brad Mountain,East Kimberly,MN,99690,Townhouse,445000,275000,170000,7.25,30,1/17/2025,1875.98,273752.31,Current,0
1095,Bryan,Davis,41,86363,803,96670 Vega Extensions,East Kyle,LA,57176,Single Family,235000,212000,23000,4.81,30,11/17/2023,1113.57,206847.22,Current,0
1096,Patrick,Rodgers,30,57506,713,24472 Christina Ridges Apt. 476,Lukehaven,WI,14076,Single Family,685000,521000,164000,6.08,30,3/7/2019,3150.51,466946.25,Current,0
1097,Wendy,Cain,47,62275,773,14626 Dawn Union Apt. 806,Garciaport,CA,67664,Single Family,610000,422000,188000,5.26,30,1/31/2022,2332.91,398946.3,Current,0
1098,Allison,Hawkins,47,22046,634,8759 Price Falls Apt. 593,New Emily,CA,53252,Condo,485000,332000,153000,7.5,30,9/9/2020,2321.39,306039.44,Current,0
1099,Tasha,Willis,45,94671,595,0785 Terri Courts,Ericfurt,CA,28335,Single Family,340000,261000,79000,7.67,30,3/14/2022,1855.43,247249.17,Current,0
1100,Michelle,Hoffman,42,71200,785,348 Kathryn Forges,Port Eric,NY,22458,Single Family,485000,442000,43000,5.37,30,3/26/2024,2473.7,433917.13,Current,0
1101,Alexander,Rivera,30,98618,750,2239 Drake Square Suite 905,West Sue,CA,25423,Single Family,255000,187000,68000,5.72,30,3/18/2023,1087.72,180342.45,Current,0
1102,Jennifer,Martinez,40,14071,647,378 Thompson Camp,Valdezchester,TX,81906,Single Family,555000,479000,76000,6.88,30,4/25/2020,3148.29,438506.76,Current,0
1103,Erin,Gomez,41,170108,650,39308 Smith Ridges,Jeremyview,MS,84057,Single Family,825000,523000,302000,7.06,30,11/27/2016,3500.63,448641.99,Delinquent,89
1104,Amanda,Ortega,36,55838,810,52500 Brenda Divide,Michaelport,MO,63864,Condo,620000,475000,145000,5.14,30,1/31/2021,2590.7,441024.31,Current,0
1105,Joseph,Christensen,43,104203,624,515 Willis Junction,Dustinmouth,NJ,77355,Condo,250000,237000,13000,7.19,30,4/20/2017,1607.12,204884.31,Current,0
1106,Danielle,Parrish,49,35598,850,2267 Thompson Points Suite 392,Mariamouth,CO,98508,Single Family,435000,378000,57000,4.66,30,4/27/2016,1951.37,320512.5,Current,0
1107,Daniel,Griffith,63,81339,647,4220 Rosales Trail Apt. 295,Parkershire,DE,91904,Single Family,190000,128000,62000,6.96,30,9/2/2017,848.15,111454.81,Current,0
1108,Ryan,Schmitt,46,35358,771,917 Mark Club,Farmertown,IL,09269,Townhouse,480000,372000,108000,5.43,30,6/13/2023,2095.87,360254.44,Current,0
1109,Shawn,Burke,47,43832,693,5215 Smith Fords,Brownchester,NY,98103,Single Family,455000,310000,145000,6.64,30,1/20/2021,1988.04,287668.52,Current,0
1110,Stephanie,Bell,44,155907,768,154 Jennifer Causeway,Debbieberg,FL,30221,Condo,140000,104000,36000,5.43,30,4/11/2025,585.94,103932.59,Current,0
1111,Nancy,Lane,25,54429,676,6267 Bell Lane Apt. 793,Wangtown,CA,86618,Single Family,205000,179000,26000,6.76,30,10/5/2015,1162.18,150078.24,Current,0
1112,Jose,Lewis,44,66750,706,1040 Green Cove,East Ebony,WA,65299,Townhouse,315000,274000,41000,6.3,30,9/14/2018,1695.99,243365.28,Current,0
1113,Vincent,Douglas,45,92506,723,2621 Matthew Ridges,Kennethstad,AZ,73568,Condo,310000,211000,99000,6.17,30,12/18/2017,1288.2,184771.53,Current,0
1114,Guy,Walker,69,76714,639,062 Moore Courts Suite 336,West Ronaldfurt,TN,60512,Townhouse,200000,185000,15000,6.76,30,5/17/2017,1201.14,160162.04,Current,0
1115,Rita,Rodriguez,43,64551,779,443 Brandon Ports Suite 205,Angelaborough,SC,51261,Single Family,440000,355000,85000,5.05,20,12/6/2021,2352.66,324529.17,Current,0
1116,Monica,Bruce,48,71860,678,1497 Collin Ford,New Wesley,GA,42734,Single Family,410000,301000,109000,6.85,30,10/17/2017,1972.33,262720.05,Current,0
1117,Kenneth,Richardson,44,199129,701,417 Kyle Locks,Danielbury,CA,84718,Townhouse,330000,256000,74000,6.64,30,4/21/2025,1641.74,255952.59,Current,0
1118,Danielle,Farmer,33,58174,640,4186 Nathan Light Suite 270,West Jennifer,CA,48849,Single Family,250000,203000,47000,7.04,30,1/29/2019,1356.02,181591.02,Current,0
1119,Chelsea,Andrews,56,66208,580,7434 Edward Square Apt. 158,Craneton,OH,26599,Single Family,610000,486000,124000,7.95,30,5/10/2016,3549.17,412380,Current,0
1120,Eric,Aguirre,52,101248,704,380 Cardenas Manor Suite 937,Wattsfort,NY,06001,Condo,830000,639000,191000,6.45,30,2/3/2020,4017.93,582555,Current,0
1121,Kathryn,Bruce,52,104064,850,60898 David Throughway Suite 223,West Valerie,SC,05269,Condo,285000,221000,64000,4.64,30,5/31/2021,1138.23,206420.14,Current,0
1122,Amber,Villegas,35,108393,782,06163 Mary Green,Brownton,VA,59864,Townhouse,265000,175000,90000,4.98,20,7/1/2016,1152.99,135868.06,Delinquent,42
1123,Kimberly,Cardenas,59,82402,718,116 Arnold Walks Suite 870,Joshuastad,OH,25153,Single Family,465000,411000,54000,6.03,30,11/30/2020,2472.09,380422.36,Current,0
1124,Alyssa,Austin,30,33810,698,62299 Sara Port Apt. 485,Mcleanville,CA,00988,Condo,305000,241000,64000,6.4,30,7/24/2015,1507.47,201246.16,Current,0
1125,Aaron,Day,50,135498,721,6799 Johnson Harbor Suite 299,Taylorland,FL,75335,Condo,340000,220000,120000,6.31,30,12/9/2016,1363.17,188843.52,Current,0
1126,Mario,Johnson,66,33753,763,65307 Prince Brooks Suite 444,Tiffanychester,TX,47086,Single Family,525000,456000,69000,6.13,30,4/15/2016,2772.18,386396.67,Current,0
1127,Andrew,Hickman,35,69656,625,132 Mccann Mills Suite 469,Port Edward,FL,02745,Single Family,140000,130000,10000,7.37,30,2/8/2018,897.43,114153.24,Current,0
1128,Sarah,Gallegos,39,41063,809,73678 Nicholson Passage,Audreyside,CA,87608,Single Family,700000,652000,48000,4.75,30,11/8/2024,3401.14,646928.89,Current,0
1129,Natasha,Adams,45,57984,777,48628 Glenn Wells,South Johnshire,OH,49330,Single Family,375000,273000,102000,5.53,30,8/17/2017,1555.21,237510,Current,0
1130,Marie,White,39,70571,777,30705 Joshua View,Angelaport,LA,85529,Townhouse,295000,191000,104000,5.71,30,2/24/2023,1109.78,184005.51,Current,0
1131,Kyle,Park,29,70311,755,610 Nathan Ranch Suite 279,East Kelseyland,UT,44898,Single Family,345000,270000,75000,5.75,30,7/31/2022,1575.65,257512.5,Delinquent,32
1132,Brian,Parker,45,73936,721,2414 Paul Estates Apt. 333,Susanstad,NC,54965,Condo,355000,227000,128000,5.99,30,11/25/2024,1359.52,225413.1,Current,0
1133,Natalie,Morgan,34,134169,773,680 Thomas Curve Apt. 903,Burgessborough,CA,98769,Townhouse,150000,139000,11000,5.69,30,12/5/2016,805.88,119289.03,Delinquent,97
1134,Stacey,Smith,49,75114,767,446 York Mount Suite 374,West Taylor,VA,01475,Single Family,765000,508000,257000,5.71,30,2/5/2019,2951.65,454589.44,Current,0
1135,Christopher,Kane,35,52993,691,108 Hoffman Ranch Suite 417,Coxborough,FL,41810,Condo,370000,255000,115000,6.36,30,12/9/2023,1588.37,249061.81,Delinquent,33
1136,Todd,Knight,60,96959,674,4544 Lopez Path,Jonathantown,IL,61250,Single Family,450000,334000,116000,6.86,30,1/3/2021,2190.8,309676.76,Current,0
1137,Chad,Morales,37,108525,728,96520 Bright Green,North Dawn,LA,11671,Condo,585000,429000,156000,6.28,30,8/4/2019,2649.8,387470.42,Delinquent,36
1138,Kathleen,Thomas,41,32409,843,6099 Matthew Station Apt. 875,Fosterfort,CA,18075,Single Family,215000,189000,26000,4.83,20,10/20/2017,1229.64,152985,Current,0
1139,Katie,Schultz,53,80717,620,82417 Joyce Stream Apt. 513,Port Allisonhaven,MN,13080,Townhouse,460000,349000,111000,7.47,30,12/9/2023,2433.09,340872.82,Current,0
1140,David,Johnson,32,85015,602,46554 Ford Crest Suite 099,Allenchester,CA,78442,Single Family,315000,208000,107000,7.64,30,3/31/2016,1474.36,176106.67,Delinquent,55
1141,Thomas,Reese,47,51597,733,3816 Gutierrez Ways,New Morganmouth,LA,68725,Single Family,555000,385000,170000,6.26,30,3/1/2017,2373.02,331937.73,Current,0
1142,Andrea,Lewis,58,119116,724,35697 Leslie Stravenue,Campbellmouth,IN,74086,Condo,125000,97000,28000,5.89,30,1/4/2023,574.72,93218.8,Current,0
1143,Joseph,Barnes,28,55546,733,75250 Shannon Fords,Lake Charlesland,PA,15770,Single Family,345000,225000,120000,6.1,30,5/10/2024,1363.49,221354.17,Current,0
1144,Monique,Peterson,46,63754,739,271 Christina Roads,New Erichaven,TN,78211,Single Family,270000,220000,50000,5.66,30,8/25/2019,1271.31,198916.67,Default,143
1145,Rodney,Wood,47,54911,702,6760 Amanda Street Suite 058,New Sandraborough,CA,18296,Single Family,450000,359000,91000,6.63,30,10/9/2020,2299.9,331426.81,Current,0
1146,Jason,Griffith,52,60342,839,03354 Curtis Parkway,Port Gabriellaview,IN,62554,Condo,460000,391000,69000,4.59,30,9/6/2023,2002.1,380193.19,Delinquent,39
1147,Amber,Frank,32,34609,591,10447 Hamilton Spur Apt. 575,Hayesberg,IA,65295,Single Family,255000,237000,18000,8.11,30,5/25/2022,1757.23,225303.61,Delinquent,42
1148,Jessica,Bradley,31,29143,653,60332 Jessica Radial,Charlesshire,CA,73060,Single Family,255000,234000,21000,7.15,30,6/8/2018,1580.45,206775.83,Current,0
1149,James,Miller,50,132887,711,50648 Brittney Causeway,Shawnchester,SD,72800,Single Family,345000,321000,24000,6.06,30,3/17/2025,1936.96,320420.42,Current,0
1150,Larry,Williams,47,39203,588,001 Wallace Crossing,South Autumntown,OH,95646,Single Family,230000,158000,72000,8.18,30,11/18/2018,1179.23,140810.19,Current,0
1151,Wanda,Moore,47,36472,705,2304 Stanley Shore Suite 992,Smithbury,CT,45157,Single Family,550000,355000,195000,6.69,30,11/2/2024,2288.38,352140.28,Delinquent,73
1152,Debra,Williamson,48,20400,850,89141 Tyler Rest Apt. 483,Ronaldview,IN,16197,Single Family,300000,212000,88000,4.68,30,8/1/2022,1096.97,202204.81,Current,0
1153,Samuel,Craig,38,43500,721,642 Amy Fords Suite 530,New Emily,CA,82413,Single Family,85000,78000,7000,6.02,30,6/14/2015,468.65,64989.17,Current,0
1154,Zachary,Nelson,47,30898,738,119 Hernandez Course,Amandaborough,NY,04758,Single Family,300000,282000,18000,5.89,30,4/2/2021,1670.84,262625.56,Current,0
1155,David,Stanley,47,136081,619,143 Hinton Hill,Patriciashire,CA,84135,Single Family,215000,194000,21000,7.52,30,1/4/2018,1359.13,170037.41,Current,0
1156,Jeffrey,Tucker,37,99202,670,0120 Ward Springs Suite 611,East Kendra,WI,42059,Condo,160000,102000,58000,6.69,30,12/26/2021,657.51,96257.78,Current,0
1157,Matthew,Ramos,63,42443,689,22557 Johns Course,West Hunter,RI,32749,Single Family,195000,182000,13000,6.93,30,1/16/2019,1202.31,162696.2,Current,0
1158,Brianna,Nelson,49,184650,694,2166 Nelson Lights Suite 621,New Carolynton,KY,41403,Single Family,385000,288000,97000,6.55,30,1/11/2023,1829.84,276866.67,Current,0
